benchmark,method,seed,n_train,n_test,epsilon,objective,train_violation,test_violation,estimated_violation,gap,runtime_seconds,success,message,bandwidth,bandwidth_rule,base_bandwidth,bias,continuation_attempts,continuation_multipliers,continuation_success,distribution,n_train_schedule,sample_schedule,schema_version,selected_multiplier,solver_iterations,uncertainty_metadata,uncertainty_protocol
static_nonlinear_paper_aligned,schuster_gaussian,20260908,250,10000,0.1,0.1925860177114187,0.076,0.0902,0.10000000000000109,0.009800000000000003,0.0019783750030910596,True,Optimization terminated successfully,0.3355371976920599,schuster_gaussian_scaling,0.3355371976920599,,[1.0],[1.0],[true],skewed,,"[250, 1000, 5000]",1.0,1.0,8,,IID synthetic stream; not Keil MCMC
static_nonlinear_paper_aligned,keil_biased_epanechnikov,20260908,250,10000,0.1,0.3293318653329839,0.028,0.0556,0.10000000000000064,0.04440000000000001,0.0191665419988567,True,Optimization terminated successfully,0.3355371976920599,schuster_gaussian_scaling,0.3355371976920599,B(h)=h,"[0.25, 0.5, 1.0, 2.0]","[0.25, 0.5, 1.0, 2.0]","[true, true, true, false]",skewed,,"[250, 1000, 5000]",1.0,1.0,7,,IID synthetic stream; not Keil MCMC
static_nonlinear_paper_aligned,schuster_gaussian,20260908,1000,10000,0.1,0.2098107963443994,0.078,0.084,0.10000000000003872,0.016,0.0023461670061806217,True,Optimization terminated successfully,0.2658648131859194,schuster_gaussian_scaling,0.2658648131859194,,[1.0],[1.0],[true],skewed,,"[250, 1000, 5000]",1.0,1.0,8,,IID synthetic stream; not Keil MCMC
static_nonlinear_paper_aligned,keil_biased_epanechnikov,20260908,1000,10000,0.1,0.9493403486113399,0.017,0.0158,0.1000000000014396,0.0842,0.01081854100630153,True,Optimization terminated successfully,0.5317296263718388,schuster_gaussian_scaling,0.2658648131859194,B(h)=h,"[0.25, 0.5, 1.0, 2.0]","[0.25, 0.5, 1.0, 2.0]","[true, true, true, true]",skewed,,"[250, 1000, 5000]",1.0,2.0,12,,IID synthetic stream; not Keil MCMC
static_nonlinear_paper_aligned,schuster_gaussian,20260908,5000,10000,0.1,0.19097604445044922,0.0896,0.091,0.10000000000000109,0.009000000000000008,0.003960250003729016,True,Optimization terminated successfully,0.1926947989450324,schuster_gaussian_scaling,0.1926947989450324,,[1.0],[1.0],[true],skewed,,"[250, 1000, 5000]",1.0,1.0,8,,IID synthetic stream; not Keil MCMC
static_nonlinear_paper_aligned,keil_biased_epanechnikov,20260908,5000,10000,0.1,0.46765061411227105,0.0372,0.0383,0.1000000010024058,0.061700000000000005,0.012188374996185303,True,Optimization terminated successfully,0.3853895978900648,schuster_gaussian_scaling,0.1926947989450324,B(h)=h,"[0.25, 0.5, 1.0, 2.0]","[0.25, 0.5, 1.0, 2.0]","[true, true, true, true]",skewed,,"[250, 1000, 5000]",1.0,2.0,7,,IID synthetic stream; not Keil MCMC
static_nonlinear_paper_aligned,schuster_gaussian,20260909,250,10000,0.1,0.4615247981327433,0.048,0.0361,0.10000000010390364,0.06390000000000001,0.0022522500075865537,True,Optimization terminated successfully,0.4534234353392427,schuster_gaussian_scaling,0.4534234353392427,,[1.0],[1.0],[true],heavy_tailed,,"[250, 1000, 5000]",1.0,1.0,9,,IID synthetic stream; not Keil MCMC
static_nonlinear_paper_aligned,keil_biased_epanechnikov,20260909,250,10000,0.1,0.7146330698867132,0.044,0.0276,0.10000000000001297,0.0724,0.009527041998808272,True,Optimization terminated successfully,0.4534234353392427,schuster_gaussian_scaling,0.4534234353392427,B(h)=h,"[0.25, 0.5, 1.0, 2.0]","[0.25, 0.5, 1.0, 2.0]","[true, true, true, false]",heavy_tailed,,"[250, 1000, 5000]",1.0,1.0,10,,IID synthetic stream; not Keil MCMC
static_nonlinear_paper_aligned,schuster_gaussian,20260909,1000,10000,0.1,0.25546726279281534,0.066,0.0639,0.100000000004559,0.03610000000000001,0.002408917003776878,True,Optimization terminated successfully,0.31527691034810373,schuster_gaussian_scaling,0.31527691034810373,,[1.0],[1.0],[true],heavy_tailed,,"[250, 1000, 5000]",1.0,1.0,8,,IID synthetic stream; not Keil MCMC
static_nonlinear_paper_aligned,keil_biased_epanechnikov,20260909,1000,10000,0.1,0.39918360856760976,0.044,0.0418,0.10000000095590678,0.05820000000000001,0.01962258300045505,True,Optimization terminated successfully,0.31527691034810373,schuster_gaussian_scaling,0.31527691034810373,B(h)=h,"[0.25, 0.5, 1.0, 2.0]","[0.25, 0.5, 1.0, 2.0]","[true, true, true, false]",heavy_tailed,,"[250, 1000, 5000]",1.0,1.0,7,,IID synthetic stream; not Keil MCMC
static_nonlinear_paper_aligned,schuster_gaussian,20260909,5000,10000,0.1,0.20599879933678353,0.079,0.0794,0.10000000000023213,0.020600000000000007,0.004261958005372435,True,Optimization terminated successfully,0.2330968980386375,schuster_gaussian_scaling,0.2330968980386375,,[1.0],[1.0],[true],heavy_tailed,,"[250, 1000, 5000]",1.0,1.0,8,,IID synthetic stream; not Keil MCMC
static_nonlinear_paper_aligned,keil_biased_epanechnikov,20260909,5000,10000,0.1,0.7201683901063717,0.028,0.0275,0.10000000005293108,0.07250000000000001,0.015127916994970292,True,Optimization terminated successfully,0.466193796077275,schuster_gaussian_scaling,0.2330968980386375,B(h)=h,"[0.25, 0.5, 1.0, 2.0]","[0.25, 0.5, 1.0, 2.0]","[true, true, true, true]",heavy_tailed,,"[250, 1000, 5000]",1.0,2.0,10,,IID synthetic stream; not Keil MCMC
energy_dispatch_paper_aligned,schuster_gaussian,20260907,250,10000,0.1,934.1317297786264,0.028,0.0347,0.10000000007268972,0.0653,0.0023382920044241473,True,Optimization terminated successfully,0.11244940805797694,schuster_gaussian_scaling,0.11244940805797694,,[1.0],[1.0],[true],,"[250, 1000, 5000]",,1.0,1.0,,"{""distribution"": ""renewable_error"", ""means"": [-0.25, 0.35], ""mixture_components"": [{""label"": ""underproduction"", ""mean"": -0.25, ""std"": 0.1, ""weight"": 0.6}, {""label"": ""overproduction"", ""mean"": 0.35, ""std"": 0.15, ""weight"": 0.4}], ""seed"": 20260907, ""stds"": [0.1, 0.15], ""units"": ""normalised power error"", ""weights"": [0.6, 0.4]}",IID synthetic stream; not Keil MCMC
energy_dispatch_paper_aligned,keil_biased_epanechnikov,20260907,250,10000,0.1,937.3410161803597,0.0,0.0,0.1000000000000002,0.1,0.010488958010682836,True,Optimization terminated successfully,0.2248988161159539,schuster_gaussian_scaling,0.11244940805797694,B(h)=h,"[0.25, 0.5, 1.0, 2.0]","[0.25, 0.5, 1.0, 2.0]","[true, true, true, true]",,"[250, 1000, 5000]",,1.0,2.0,,"{""distribution"": ""renewable_error"", ""means"": [-0.25, 0.35], ""mixture_components"": [{""label"": ""underproduction"", ""mean"": -0.25, ""std"": 0.1, ""weight"": 0.6}, {""label"": ""overproduction"", ""mean"": 0.35, ""std"": 0.15, ""weight"": 0.4}], ""seed"": 20260907, ""stds"": [0.1, 0.15], ""units"": ""normalised power error"", ""weights"": [0.6, 0.4]}",IID synthetic stream; not Keil MCMC
energy_dispatch_paper_aligned,schuster_gaussian,20260907,1000,10000,0.1,933.6669458168832,0.06,0.0646,0.10000000000027509,0.0354,0.0035534999915398657,True,Optimization terminated successfully,0.08581285445790773,schuster_gaussian_scaling,0.08581285445790773,,[1.0],[1.0],[true],,"[250, 1000, 5000]",,1.0,1.0,,"{""distribution"": ""renewable_error"", ""means"": [-0.25, 0.35], ""mixture_components"": [{""label"": ""underproduction"", ""mean"": -0.25, ""std"": 0.1, ""weight"": 0.6}, {""label"": ""overproduction"", ""mean"": 0.35, ""std"": 0.15, ""weight"": 0.4}], ""seed"": 20260907, ""stds"": [0.1, 0.15], ""units"": ""normalised power error"", ""weights"": [0.6, 0.4]}",IID synthetic stream; not Keil MCMC
energy_dispatch_paper_aligned,keil_biased_epanechnikov,20260907,1000,10000,0.1,936.1047860739399,0.001,0.0009,0.1000000052328398,0.09910000000000001,0.008770957996603101,True,Optimization terminated successfully,0.17162570891581547,schuster_gaussian_scaling,0.08581285445790773,B(h)=h,"[0.25, 0.5, 1.0, 2.0]","[0.25, 0.5, 1.0, 2.0]","[true, true, true, true]",,"[250, 1000, 5000]",,1.0,2.0,,"{""distribution"": ""renewable_error"", ""means"": [-0.25, 0.35], ""mixture_components"": [{""label"": ""underproduction"", ""mean"": -0.25, ""std"": 0.1, ""weight"": 0.6}, {""label"": ""overproduction"", ""mean"": 0.35, ""std"": 0.15, ""weight"": 0.4}], ""seed"": 20260907, ""stds"": [0.1, 0.15], ""units"": ""normalised power error"", ""weights"": [0.6, 0.4]}",IID synthetic stream; not Keil MCMC
energy_dispatch_paper_aligned,schuster_gaussian,20260907,5000,10000,0.1,933.4632603755256,0.0758,0.0798,0.09999999999997267,0.02020000000000001,0.00489825000113342,True,Optimization terminated successfully,0.061806482613909586,schuster_gaussian_scaling,0.061806482613909586,,[1.0],[1.0],[true],,"[250, 1000, 5000]",,1.0,1.0,,"{""distribution"": ""renewable_error"", ""means"": [-0.25, 0.35], ""mixture_components"": [{""label"": ""underproduction"", ""mean"": -0.25, ""std"": 0.1, ""weight"": 0.6}, {""label"": ""overproduction"", ""mean"": 0.35, ""std"": 0.15, ""weight"": 0.4}], ""seed"": 20260907, ""stds"": [0.1, 0.15], ""units"": ""normalised power error"", ""weights"": [0.6, 0.4]}",IID synthetic stream; not Keil MCMC
energy_dispatch_paper_aligned,keil_biased_epanechnikov,20260907,5000,10000,0.1,935.2207638336491,0.0058,0.0069,0.10000000000375253,0.0931,0.015088540996657684,True,Optimization terminated successfully,0.12361296522781917,schuster_gaussian_scaling,0.061806482613909586,B(h)=h,"[0.25, 0.5, 1.0, 2.0]","[0.25, 0.5, 1.0, 2.0]","[true, true, true, true]",,"[250, 1000, 5000]",,1.0,2.0,,"{""distribution"": ""renewable_error"", ""means"": [-0.25, 0.35], ""mixture_components"": [{""label"": ""underproduction"", ""mean"": -0.25, ""std"": 0.1, ""weight"": 0.6}, {""label"": ""overproduction"", ""mean"": 0.35, ""std"": 0.15, ""weight"": 0.4}], ""seed"": 20260907, ""stds"": [0.1, 0.15], ""units"": ""normalised power error"", ""weights"": [0.6, 0.4]}",IID synthetic stream; not Keil MCMC
